Reports,No Finding,Enlarged Cardiomediastinum,Cardiomegaly,Lung Lesion,Lung Opacity,Edema,Consolidation,Pneumonia,Atelectasis,Pneumothorax,Pleural Effusion,Pleural Other,Fracture,Support Devices
the,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
vascular,1.0,,,,,,,,,,,,,
right),1.0,,,,,,,,,,,,,
pulmonary,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
are,1.0,,,,,,,,,,,,,
within,1.0,,,,,,,,,,,,,
pleural,1.0,,,,,,,,,,,,,
heart,1.0,,,,,,,,,,,,,
position.,1.0,,,,,,,,,,,,,
cardiac,1.0,,,,,,,,,,,,,
with,1.0,,,,,,,,,,,,,
stable,1.0,,,,,,,,,,,,,
cardiomegaly,,,1.0,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
in,1.0,,,,,,,,,,,,,
and,1.0,,,,,,,,,,,,,
layering,1.0,,,,,,,,,,,,,
at,1.0,,,,,,,,,,,,,
pleural,1.0,,,,,,,,,,,,,
consistent,1.0,,,,,,,,,,,,,
decreased.,1.0,,,,,,,,,,,,,
continues,1.0,,,,,,,,,,,,,
stable.,1.0,,,,,,,,,,,,,
silhouette,1.0,,,,,,,,,,,,,
calcifications,,,,,,,,,,,,,,
and,1.0,,,,,,,,,,,,,
and,1.0,,,,,,,,,,,,,
on,1.0,,,,,,,,,,,,,
left,1.0,,,,,,,,,,,,,
pneumothorax,,,,,,,,,,1.0,,,,
pulmonary,1.0,,,,,,,,,,,,,
pneumothorax,,,,,,,,,,1.0,,,,
displaced,1.0,,,,,,,,,,,,,
appropriate,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
atelectasis.,,,,,,,,,1.0,,,,,
or,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
well,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
view.,1.0,,,,,,,,,,,,,
if,1.0,,,,,,,,,,,,,
aorta,1.0,,,,,,,,,,,,,
to,1.0,,,,,,,,,,,,,
technique.,1.0,,,,,,,,,,,,,
bilateral,1.0,,,,,,,,,,,,,
granuloma,,,,,,,,,,,,,,
mild,1.0,,,,,,,,,,,,,
hypertrophic,1.0,,,,,,,,,,,,,
heart,1.0,,,,,,,,,,,,,
bibasilar,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
pleural,1.0,,,,,,,,,,,,,
lower,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
heart,1.0,,,,,,,,,,,,,
superimposed,1.0,,,,,,,,,,,,,
there,1.0,,,,,,,,,,,,,
subcutaneous,1.0,,,,,,,,,,,,,
right-sided,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
increased,1.0,,,,,,,,,,,,,
there,1.0,,,,,,,,,,,,,
seen.,1.0,,,,,,,,,,,,,
opacities,,,,,1.0,,,,,,,,,
end,1.0,,,,,,,,,,,,,
pleural,1.0,,,,,,,,,,,,,
mild,1.0,,,,,,,,,,,,,
and,1.0,,,,,,,,,,,,,
chin,1.0,,,,,,,,,,,,,
moderate,1.0,,,,,,,,,,,,,
lung,1.0,,,,,,,,,,,,,
courses,1.0,,,,,,,,,,,,,
portable,1.0,,,,,,,,,,,,,
be,1.0,,,,,,,,,,,,,
apical,1.0,,,,,,,,,,,,,
mildly,1.0,,,,,,,,,,,,,
lung,1.0,,,,,,,,,,,,,
view,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
status,1.0,,,,,,,,,,,,,
consider,1.0,,,,,,,,,,,,,
air,1.0,,,,,,,,,,,,,
left,1.0,,,,,,,,,,,,,
chf.,,,-1.0,,,1.0,,,,,,,,
tube,1.0,,,,,,,,,,,,,1.0
jugular,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
"low,",1.0,,,,,,,,,,,,,
limits.,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
mediastinal,1.0,,,,,,,,,,,,,
mild,1.0,,,,,,,,,,,,,
project,1.0,,,,,,,,,,,,,
projects,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
stable.,1.0,,,,,,,,,,,,,
mild,1.0,,,,,,,,,,,,,
with,1.0,,,,,,,,,,,,,
present.,1.0,,,,,,,,,,,,,
post,1.0,,,,,,,,,,,,,
from,1.0,,,,,,,,,,,,,
inspiratory,1.0,,,,,,,,,,,,,
.,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
interval,1.0,,,,,,,,,,,,,
base,1.0,,,,,,,,,,,,,
evidence,1.0,,,,,,,,,,,,,
edema.,,,,,,1.0,,,,,,,,
possibly,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
pulmonary,1.0,,,,,,,,,,,,,
projection,1.0,,,,,,,,,,,,,
its,1.0,,,,,,,,,,,,,
underlying,1.0,,,,,,,,,,,,,
cardiomegaly,,,1.0,,,,,,,,,,,
right-sided,1.0,,,,,,,,,,,,,
considered.,1.0,,,,,,,,,,,,,
cavoatrial,1.0,,,,,,,,,,,,,
vascular,1.0,,,,,,,,,,,,,
"mass,",,,,1.0,,,,,,,,,,
ap,1.0,,,,,,,,,,,,,
chest,1.0,,,,,,,,,,,,,
small,1.0,,,,,,,,,,,,,
are,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
hilum,1.0,,,,,,,,,,,,,
effusion,,,,,,,,,,,1.0,,,
tube.,1.0,,,,,,,,,,,,,1.0
jugular,1.0,,,,,,,,,,,,,
however,1.0,,,,,,,,,,,,,
effusion,,,,,,,,,,,1.0,,,
left,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
stomach.the,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
left,1.0,,,,,,,,,,,,,
a,1.0,,,,,,,,,,,,,
junction.,1.0,,,,,,,,,,,,,
appreciated,1.0,,,,,,,,,,,,,
"well,",1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
lower,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
vascular,1.0,,,,,,,,,,,,,
normal.,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
"size,",1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
catheter.,1.0,,,,,,,,,,,,,1.0
is,1.0,,,,,,,,,,,,,
has,1.0,,,,,,,,,,,,,
pneumothorax.,,,,,,,,,,1.0,,,,
at,1.0,,,,,,,,,,,,,
region.,1.0,,,,,,,,,,,,,
distal,1.0,,,,,,,,,,,,,
and,1.0,,,,,,,,,,,,,
effusion.,,,,,,,,,,,1.0,,,
pulmonary,1.0,,,,,,,,,,,,,
seen.,1.0,,,,,,,,,,,,,
prior,1.0,,,,,,,,,,,,,
tip,1.0,,,,,,,,,,,,,
seen,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
lung,1.0,,,,,,,,,,,,,
of,1.0,,,,,,,,,,,,,
prominence,,,,,,,,,,,,,,
identified.,1.0,,,,,,,,,,,,,
contours,,1.0,,,,,,,,,,,,
infiltrate.,,,,,1.0,,,,,,,,,
hilar,1.0,,,,,,,,,,,,,
opacity.,,,,,1.0,,,,,,,,,
to,1.0,,,,,,,,,,,,,
not,1.0,,,,,,,,,,,,,
there,1.0,,,,,,,,,,,,,
"consolidation,",,,,,,,1.0,,,,,,,
diffuse,1.0,,,,,,,,,,,,,
supine,1.0,,,,,,,,,,,,,
represents,1.0,,,,,,,,,,,,,
there,1.0,,,,,,,,,,,,,
tip,1.0,,,,,,,,,,,,,
are,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
aortic,1.0,,,,,,,,,,,,,
versus,1.0,,,,,,,,,,,,,
ij,1.0,,,,,,,,,,,,,
passes,1.0,,,,,,,,,,,,,
cardiomegaly,,,1.0,,,,,,,,,,,
an,1.0,,,,,,,,,,,,,
silhouette,1.0,,,,,,,,,,,,,
interval,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
in,1.0,,,,,,,,,,,,,
cervical,1.0,,,,,,,,,,,,,
mildly,1.0,,,,,,,,,,,,,
tube,1.0,,,,,,,,,,,,,1.0
lungs,1.0,,,,,,,,,,,,,
endotracheal,1.0,,,,,,,,,,,,,
small,1.0,,,,,,,,,,,,,
interval,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
technique.,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
an,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
upper,1.0,,,,,,,,,,,,,
picc,1.0,,,,,,,,,,,,,1.0
in,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
left,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
detected.,1.0,,,,,,,,,,,,,
congestion.,1.0,,,,,,,,,,,,,
veins,1.0,,,,,,,,,,,,,
submitted.,1.0,,,,,,,,,,,,,
inspiration,1.0,,,,,,,,,,,,,
right,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
are,1.0,,,,,,,,,,,,,
in,1.0,,,,,,,,,,,,,
upright,1.0,,,,,,,,,,,,,
svc.,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
overt,1.0,,,,,,,,,,,,,
unchanged.,1.0,,,,,,,,,,,,,
elevation,,,,,,,,,,,,,,
pleural,1.0,,,,,,,,,,,,,
linear,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
appropriately,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
right,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
with,1.0,,,,,,,,,,,,,
injuries.,1.0,,,,,,,,,,,,,
clips,1.0,,,,,,,,,,,,,
pleural,1.0,,,,,,,,,,,,,
"cardiac,",1.0,,,,,,,,,,,,,
lung,1.0,,,,,,,,,,,,,
chest,1.0,,,,,,,,,,,,,
edema.,,,,,,1.0,,,,,,,,
to,1.0,,,,,,,,,,,,,
with,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
frontal,1.0,,,,,,,,,,,,,
reflect,1.0,,,,,,,,,,,,,
pleural,1.0,,,,,,,,,,,,,
left,1.0,,,,,,,,,,,,,
tube,1.0,,,,,,,,,,,,,1.0
reflective,1.0,,,,,,,,,,,,,
persists.,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
moderate,1.0,,,,,,,,,,,,,
lung,1.0,,,,,,,,,,,,,
",",1.0,,,,,,,,,,,,,
compared,1.0,,,,,,,,,,,,,
there,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
right,1.0,,,,,,,,,,,,,
right-sided,1.0,,,,,,,,,,,,,
has,1.0,,,,,,,,,,,,,
region,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
opacification,,,,,1.0,,,,,,,,,
consolidation,,,,,,,1.0,,,,,,,
no,1.0,,,,,,,,,,,,,
size,1.0,,,,,,,,,,,,,
a,1.0,,,,,,,,,,,,,
"silhouette,",1.0,,,,,,,,,,,,,
seen,1.0,,,,,,,,,,,,,
seen,1.0,,,,,,,,,,,,,
;,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
unchanged.,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
pulmonary,1.0,,,,,,,,,,,,,
mid,1.0,,,,,,,,,,,,,
mediastinal,1.0,,,,,,,,,,,,,
not,1.0,,,,,,,,,,,,,
patchy,1.0,,,,,,,,,,,,,
or,1.0,,,,,,,,,,,,,
cardiomegaly,,,1.0,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
increased,1.0,,,,,,,,,,,,,
stable,1.0,,,,,,,,,,,,,
stable,1.0,,,,,,,,,,,,,
structures,1.0,,,,,,,,,,,,,
lung,1.0,,,,,,,,,,,,,
"consolidation,",,,,,,,1.0,,,,,,,
the,1.0,,,,,,,,,,,,,
consolidation.,,,,,,,1.0,,,,,,,
are,1.0,,,,,,,,,,,,,
bowel,1.0,,,,,,,,,,,,,
appreciated,1.0,,,,,,,,,,,,,
minimal,1.0,,,,,,,,,,,,,
or,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
cardiac,1.0,,,,,,,,,,,,,
hemidiaphragm,1.0,,,,,,,,,,,,,
a,1.0,,,,,,,,,,,,,
size.,1.0,,,,,,,,,,,,,
in,1.0,,,,,,,,,,,,,
upper,1.0,,,,,,,,,,,,,
well,1.0,,,,,,,,,,,,,
hilar,1.0,,,,,,,,,,,,,
a,1.0,,,,,,,,,,,,,
of,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
wall,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
some,1.0,,,,,,,,,,,,,
lung,1.0,,,,,,,,,,,,,
size.,1.0,,,,,,,,,,,,,
clear.,1.0,,,,,,,,,,,,,
volumes,1.0,,,,,,,,,,,,,
there,1.0,,,,,,,,,,,,,
left,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
valve,1.0,,,,,,,,,,,,,1.0
changes.,1.0,,,,,,,,,,,,,
change.,1.0,,,,,,,,,,,,,
there,1.0,,,,,,,,,,,,,
film.,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
in,1.0,,,,,,,,,,,,,
pulmonary,1.0,,,,,,,,,,,,,
heart,1.0,,,,,,,,,,,,,
carina.,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
has,1.0,,,,,,,,,,,,,
opacities,,,,,1.0,,,,,,,,,
size.,1.0,,,,,,,,,,,,,
heart,1.0,,,,,,,,,,,,,
normal,1.0,,,,,,,,,,,,,
unfolded,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
edema,,,,,,1.0,,,,,,,,
without,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
compare,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
mediastinum.,1.0,,,,,,,,,,,,,
enlarged.,1.0,,,,,,,,,,,,,
contours,,1.0,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
of,1.0,,,,,,,,,,,,,
are,1.0,,,,,,,,,,,,,
pacemaker,1.0,,,,,,,,,,,,,1.0
is,1.0,,,,,,,,,,,,,
indistinctness.,,,,,,-1.0,,,,,,,,
5,1.0,,,,,,,,,,,,,
edema.,,,,,,1.0,,,,,,,,
stomach.,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
percutaneous,1.0,,,,,,,,,,,,,
right,1.0,,,,,,,,,,,,,
pulmonary,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
are,1.0,,,,,,,,,,,,,
in,1.0,,,,,,,,,,,,,
of,1.0,,,,,,,,,,,,,
lungs,1.0,,,,,,,,,,,,,
tube,1.0,,,,,,,,,,,,,1.0
are,1.0,,,,,,,,,,,,,
clear.,1.0,,,,,,,,,,,,,
tortuous.,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
pleural,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
left,1.0,,,,,,,,,,,,,
seen.,1.0,,,,,,,,,,,,,
cardiomegaly,,,1.0,,,,,,,,,,,
top-normal,1.0,,,,,,,,,,,,,
appears,1.0,,,,,,,,,,,,,
lower,1.0,,,,,,,,,,,,,
of,1.0,,,,,,,,,,,,,
lung,1.0,,,,,,,,,,,,,
unchanged.,1.0,,,,,,,,,,,,,
there,1.0,,,,,,,,,,,,,
upper,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
carina.,1.0,,,,,,,,,,,,,
internal,1.0,,,,,,,,,,,,,
prior,1.0,,,,,,,,,,,,,
appears,1.0,,,,,,,,,,,,,
hemorrhage.,,,,,,,,,,,,,,
interval,1.0,,,,,,,,,,,,,
enlarged,1.0,,,,,,,,,,,,,
elevation,,,,,,,,,,,,,,
interstitial,1.0,,,,,,,,,,,,,
compared,1.0,,,,,,,,,,,,,
bilateral,1.0,,,,,,,,,,,,,
lungs,1.0,,,,,,,,,,,,,
with,1.0,,,,,,,,,,,,,
again,1.0,,,,,,,,,,,,,
with,1.0,,,,,,,,,,,,,
sternotomy,1.0,,,,,,,,,,,,,
lobe,1.0,,,,,,,,,,,,,
of,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
there,1.0,,,,,,,,,,,,,
of,1.0,,,,,,,,,,,,,
are,1.0,,,,,,,,,,,,,
left,1.0,,,,,,,,,,,,,
catheter,1.0,,,,,,,,,,,,,1.0
mediastinal,1.0,,,,,,,,,,,,,
large,1.0,,,,,,,,,,,,,
as,1.0,,,,,,,,,,,,,
keeping,1.0,,,,,,,,,,,,,
day,1.0,,,,,,,,,,,,,
of,1.0,,,,,,,,,,,,,
left,1.0,,,,,,,,,,,,,
but,1.0,,,,,,,,,,,,,
which,1.0,,,,,,,,,,,,,
of,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
chronic,1.0,,,,,,,,,,,,,
or,1.0,,,,,,,,,,,,,
air,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
cardiomediastinal,1.0,,,,,,,,,,,,,
of,1.0,,,,,,,,,,,,,
size,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
lung,1.0,,,,,,,,,,,,,
opacity.,,,,,1.0,,,,,,,,,
identified.,1.0,,,,,,,,,,,,,
lungs,1.0,,,,,,,,,,,,,
enlarged.,1.0,,,,,,,,,,,,,
prior,1.0,,,,,,,,,,,,,
from,1.0,,,,,,,,,,,,,
present.,1.0,,,,,,,,,,,,,
before.,1.0,,,,,,,,,,,,,
upper,1.0,,,,,,,,,,,,,
confluent,1.0,,,,,,,,,,,,,
are,1.0,,,,,,,,,,,,,
humeral,1.0,,,,,,,,,,,,,
to,1.0,,,,,,,,,,,,,
but,1.0,,,,,,,,,,,,,
stomach,1.0,,,,,,,,,,,,,
perihilar,1.0,,,,,,,,,,,,,
a,1.0,,,,,,,,,,,,,
lung,1.0,,,,,,,,,,,,,
are,1.0,,,,,,,,,,,,,
ap,1.0,,,,,,,,,,,,,
atelectasis,,,,,,,,,1.0,,,,,
present.,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
from,1.0,,,,,,,,,,,,,
.,1.0,,,,,,,,,,,,,
remote,1.0,,,,,,,,,,,,,
to,1.0,,,,,,,,,,,,,
was,1.0,,,,,,,,,,,,,
could,1.0,,,,,,,,,,,,,
osseous,1.0,,,,,,,,,,,,,
there,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
and,1.0,,,,,,,,,,,,,
are,1.0,,,,,,,,,,,,,
"interval,",1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
bilateral,1.0,,,,,,,,,,,,,
et,1.0,,,,,,,,,,,,,
been,1.0,,,,,,,,,,,,,
lung,1.0,,,,,,,,,,,,,
early,1.0,,,,,,,,,,,,,
consolidation,,,,,,,1.0,,,,,,,
effusion,,,,,,,,,,,1.0,,,
to,1.0,,,,,,,,,,,,,
consolidation.,,,,,,,1.0,,,,,,,
contours,,1.0,,,,,,,,,,,,
has,1.0,,,,,,,,,,,,,
improved.,1.0,,,,,,,,,,,,,
median,1.0,,,,,,,,,,,,,
persistent,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
picc,1.0,,,,,,,,,,,,,1.0
the,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
effusion,,,,,,,,,,,1.0,,,
of,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
hilar,1.0,,,,,,,,,,,,,
are,1.0,,,,,,,,,,,,,
cardiac,1.0,,,,,,,,,,,,,
may,1.0,,,,,,,,,,,,,
there,1.0,,,,,,,,,,,,,
left,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
over,1.0,,,,,,,,,,,,,
provided.,1.0,,,,,,,,,,,,,
lung,1.0,,,,,,,,,,,,,
upper,1.0,,,,,,,,,,,,,
cardiomediastinal,1.0,,,,,,,,,,,,,
proximal,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
leads,1.0,,,,,,,,,,,,,
be,1.0,,,,,,,,,,,,,
"persists,",1.0,,,,,,,,,,,,,
in,1.0,,,,,,,,,,,,,
hazy,1.0,,,,,,,,,,,,,
in,1.0,,,,,,,,,,,,,
portable,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
or,1.0,,,,,,,,,,,,,
apices,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
bibasilar,1.0,,,,,,,,,,,,,
heart,1.0,,,,,,,,,,,,,
temperature,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
than,1.0,,,,,,,,,,,,,
slightly,1.0,,,,,,,,,,,,,
yesterday's,1.0,,,,,,,,,,,,,
on,1.0,,,,,,,,,,,,,
pleural,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
a,1.0,,,,,,,,,,,,,
except,1.0,,,,,,,,,,,,,
mediastinal,1.0,,,,,,,,,,,,,
or,1.0,,,,,,,,,,,,,
tube,1.0,,,,,,,,,,,,,1.0
not,1.0,,,,,,,,,,,,,
upper,1.0,,,,,,,,,,,,,
osseous,1.0,,,,,,,,,,,,,
svc.,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
a,1.0,,,,,,,,,,,,,
tube,1.0,,,,,,,,,,,,,1.0
right,1.0,,,,,,,,,,,,,
longer,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
apices,1.0,,,,,,,,,,,,,
of,1.0,,,,,,,,,,,,,
evidence,1.0,,,,,,,,,,,,,
present,1.0,,,,,,,,,,,,,
pleural,1.0,,,,,,,,,,,,,
"unchanged,",1.0,,,,,,,,,,,,,
portable,1.0,,,,,,,,,,,,,
stable.,1.0,,,,,,,,,,,,,
effusions,,,,,,,,,,,1.0,,,
are,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
of,1.0,,,,,,,,,,,,,
lower,1.0,,,,,,,,,,,,,
interval,1.0,,,,,,,,,,,,,
subclavian,1.0,,,,,,,,,,,,,
orogastric,1.0,,,,,,,,,,,,,
pulmonary,1.0,,,,,,,,,,,,,
mild,1.0,,,,,,,,,,,,,
chest.,1.0,,,,,,,,,,,,,
cardiomediastinal,1.0,,,,,,,,,,,,,
lower,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
left,1.0,,,,,,,,,,,,,
right,1.0,,,,,,,,,,,,,
to,1.0,,,,,,,,,,,,,
aorta.,1.0,,,,,,,,,,,,,
available,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
tube,1.0,,,,,,,,,,,,,1.0
hilar,1.0,,,,,,,,,,,,,
lung,1.0,,,,,,,,,,,,,
low,1.0,,,,,,,,,,,,,
pulmonary,1.0,,,,,,,,,,,,,
cm,1.0,,,,,,,,,,,,,
associated,1.0,,,,,,,,,,,,,
pulmonary,1.0,,,,,,,,,,,,,
and,1.0,,,,,,,,,,,,,
normal.,1.0,,,,,,,,,,,,,
consolidations.,,,,,,,1.0,,,,,,,
catheter,1.0,,,,,,,,,,,,,1.0
of,1.0,,,,,,,,,,,,,
approximately,1.0,,,,,,,,,,,,,
"cardiomegaly,",,,1.0,,,,,,,,,,,
ends,1.0,,,,,,,,,,,,,
from,1.0,,,,,,,,,,,,,
prior,1.0,,,,,,,,,,,,,
has,1.0,,,,,,,,,,,,,
left-sided,1.0,,,,,,,,,,,,,
normal.,1.0,,,,,,,,,,,,,
3.6,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
of,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
to,1.0,,,,,,,,,,,,,
are,1.0,,,,,,,,,,,,,
terminates,1.0,,,,,,,,,,,,,
below,1.0,,,,,,,,,,,,,
atrium,1.0,,,,,,,,,,,,,
consolidation,,,,,,,1.0,,,,,,,
imaged,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
or,1.0,,,,,,,,,,,,,
to,1.0,,,,,,,,,,,,,
projects,1.0,,,,,,,,,,,,,
for,1.0,,,,,,,,,,,,,
in,1.0,,,,,,,,,,,,,
of,1.0,,,,,,,,,,,,,
effusion,,,,,,,,,,,1.0,,,
focal,1.0,,,,,,,,,,,,,
base,1.0,,,,,,,,,,,,,
infiltrate,,,,,1.0,,,,,,,,,
again,1.0,,,,,,,,,,,,,
effusion,,,,,,,,,,,1.0,,,
endotracheal,1.0,,,,,,,,,,,,,
normal.,1.0,,,,,,,,,,,,,
contour,,1.0,,,,,,,,,,,,
